cdchit_middle_x,cdchit_middle_y,cdchit_middle_z,cdchit_wire,cdchit_layer,cdchit_clayer,cdchit_superlayer,cdchit_tdc,cdchit_adc,cdchit_mc_px,cdchit_mc_py,cdchit_mc_pz,cdchit_mc_productionvertex_x,cdchit_mc_productionvertex_y,cdchit_mc_productionvertex_z,cdchit_mc_charge,objidx,is_signal,evt_id
-30.76985454559326,-55.91181945800781,42.75304985046387,171,3,29,4,4631,24,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
-38.088279724121094,4.370312690734863,33.35986518859863,92,1,15,2,4677,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
39.96552848815918,65.05571365356445,42.74080276489258,42,4,36,5,4810,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
-96.8986930847168,-37.38212013244629,42.75742721557617,214,1,51,8,4328,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
-2.3022313117980957,16.620389938354492,12.23100471496582,43,0,0,0,4708,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
-86.82838439941406,56.990182876586914,42.746822357177734,156,1,51,8,5020,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
42.02646827697754,43.075212478637695,42.74404716491699,32,1,27,4,4698,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
72.2507553100586,-8.307525426149368,42.74882507324219,278,2,34,5,4777,70,2.147063970565796,-0.5738880038261414,1.1694185733795166,14.971342086791992,10.919143676757812,8.4539794921875,1.0,5.0,True,1
79.50015640258789,-10.99038314819336,42.7529296875,313,0,38,6,4879,74,2.147063970565796,-0.5738880038261414,1.1694185733795166,14.971342086791992,10.919143676757812,8.4539794921875,1.0,5.0,True,1
-38.63445854187012,-40.86886215209961,42.7468147277832,145,5,25,3,4866,74,-3.9811201095581055,-3.939002275466919,5.070838451385498,0.0,0.0,0.0,-1.0,1.0,True,1
-54.334848403930664,90.64350891113281,42.744171142578125,129,2,52,8,4832,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
-39.966238021850586,3.9253735542297363,36.16018295288086,93,2,16,2,4737,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
13.236532211303711,23.627382278442383,20.477075576782227,22,1,9,1,4971,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
-4.299467086791992,58.251909255981445,42.74110412597656,67,0,26,4,4865,66,-0.2861693799495697,2.060149908065796,0.3265638053417206,0.0,0.0,0.0,1.0,2.0,True,1
-69.44068145751953,-69.44621276855469,42.75613784790039,225,4,48,7,4828,37,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
-23.732420921325684,-42.94588088989258,42.748796463012695,154,1,21,3,4809,53,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
-18.11972713470459,-41.81689643859863,42.757816314697266,131,5,19,2,4849,86,-2.1424403190612793,-4.90648889541626,-1.6948294639587402,-15.111950874328613,-34.33402633666992,-16.132633209228516,-1.0,4.0,True,1
-62.60354232788086,-68.46157646179199,42.75407791137695,227,1,45,7,4810,40,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
61.83256530761719,-4.557440280914307,42.7498836517334,253,2,28,4,4733,38,2.147063970565796,-0.5738880038261414,1.1694185733795166,14.971342086791992,10.919143676757812,8.4539794921875,1.0,5.0,True,1
82.07466506958008,-30.27316951751709,42.755577087402344,302,4,42,6,5017,889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
34.4263334274292,37.455726623535156,42.745492935180664,34,2,22,3,4680,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
-29.223533630371094,-54.68010902404785,42.752859115600586,172,2,28,4,4756,53,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
-25.22778034210205,-44.17667579650879,42.749094009399414,154,2,22,3,4888,62,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
-32.518059730529785,-65.05094528198242,42.75627136230469,190,2,34,5,4721,32,-0.11500421166419983,-0.2703200876712799,-0.11959280073642731,-15.111950874328613,-34.33402633666992,-16.132633209228516,1.0,3.0,True,1
20.140159606933594,50.62544822692871,42.74285697937012,47,4,24,3,4896,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
18.719593048095703,-9.092355728149414,15.311187744140625,148,4,4,0,4976,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
59.19043159484863,80.56730270385742,42.74897766113281,57,5,49,7,4625,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
56.15206718444824,-3.1504234075546265,42.750003814697266,2,5,25,3,4786,51,2.147063970565796,-0.5738880038261414,1.1694185733795166,14.971342086791992,10.919143676757812,8.4539794921875,1.0,5.0,True,1
-1.5795931816101074,56.21818923950195,42.74009323120117,61,5,25,3,4734,51,-0.2861693799495697,2.060149908065796,0.3265638053417206,0.0,0.0,0.0,1.0,2.0,True,1
